Year Start,Year End,State,Class,Topic,Data Value Unit,Data Value(%),Age Group,Geolocation,Gender,Race/Ethnicity
2019,2022,RI,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.6,50-64 years,POINT (-71.52247031 41.70828019),Male,--
2019,2022,UT,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,27.5,50-64 years,POINT (-111.5871306 39.36070017),Male,--
2019,2022,CO,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.1,Overall,POINT (-106.1336109 38.84384076),Male,--
2019,2022,NY,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.3,65 years or older,POINT (-75.54397043 42.82700103),Female,--
2019,2022,KS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.0,65 years or older,POINT (-98.20078123 38.3477403),--,"White, non-Hispanic"
2019,2022,AL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,55.5,50-64 years,POINT (-86.63186076 32.84057112),Female,--
2019,2022,LA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,15.3,50-64 years,POINT (-92.44568007 31.31266064),Male,--
2019,2022,GA,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,48.0,50-64 years,POINT (-83.62758035 32.83968109),Male,--
2019,2022,WI,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.5,Overall,POINT (-89.81637074 44.39319117),Male,--
2019,2022,CO,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.7,50-64 years,POINT (-106.1336109 38.84384076),Male,--
2019,2022,OK,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,18.1,Overall,POINT (-97.52107021 35.47203136),--,Hispanic
2019,2022,MD,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.7,50-64 years,POINT (-76.60926011 39.29058096),--,"White, non-Hispanic"
2019,2022,TN,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,63.8,50-64 years,POINT (-85.77449091 35.68094058),--,"Black, non-Hispanic"
2019,2022,DC,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,34.2,65 years or older,POINT (-77.036871 38.907192),Female,--
2019,2022,KS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,14.0,65 years or older,POINT (-98.20078123 38.3477403),Male,--
2019,2022,MS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,53.8,Overall,POINT (-89.53803082 32.7455101),--,"Black, non-Hispanic"
2019,2022,WV,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,29.8,65 years or older,POINT (-80.71264013 38.6655102),Female,--
2019,2022,OH,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,19.0,65 years or older,POINT (-82.40426006 40.06021014),--,"White, non-Hispanic"
2019,2022,KY,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,54.5,50-64 years,POINT (-84.77497105 37.64597027),Female,--
2019,2022,WI,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.3,50-64 years,POINT (-89.81637074 44.39319117),Male,--
2019,2022,ID,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,15.2,65 years or older,POINT (-114.36373 43.68263001),Male,--
2019,2022,WY,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,34.2,50-64 years,POINT (-108.1098304 43.23554134),--,"White, non-Hispanic"
2019,2022,NY,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,52.9,65 years or older,POINT (-75.54397043 42.82700103),Female,--
2019,2022,AK,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,18.3,Overall,POINT (-147.722059 64.84507996),--,"White, non-Hispanic"
2019,2022,WY,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,27.0,Overall,POINT (-108.1098304 43.23554134),Male,--
2019,2022,IA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.1,65 years or older,POINT (-93.81649056 42.46940091),Female,--
2019,2022,MD,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.3,50-64 years,POINT (-76.60926011 39.29058096),--,"Black, non-Hispanic"
2019,2022,OK,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,14.1,Overall,POINT (-97.52107021 35.47203136),--,"Black, non-Hispanic"
2019,2022,VT,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,24.7,50-64 years,POINT (-72.51764079 43.62538124),Female,--
2019,2022,UT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,22.9,65 years or older,POINT (-111.5871306 39.36070017),--,"White, non-Hispanic"
2019,2022,NM,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.8,50-64 years,POINT (-106.240581 34.52088095),Female,--
2019,2022,NY,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.5,65 years or older,POINT (-75.54397043 42.82700103),Male,--
2019,2022,ND,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,17.1,65 years or older,POINT (-100.118421 47.47531978),--,"White, non-Hispanic"
2019,2022,NE,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,26.1,50-64 years,POINT (-99.36572062 41.64104099),--,"White, non-Hispanic"
2019,2022,IL,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,8.6,65 years or older,POINT (-88.99771018 40.48501028),Female,--
2019,2022,FL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,37.1,65 years or older,POINT (-81.92896054 28.93204038),Male,--
2019,2022,PA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.4,Overall,POINT (-77.86070029 40.79373015),--,"White, non-Hispanic"
2019,2022,MS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.2,50-64 years,POINT (-89.53803082 32.7455101),Female,--
2019,2022,RI,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,28.5,65 years or older,POINT (-71.52247031 41.70828019),Male,--
2019,2022,OH,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.3,65 years or older,POINT (-82.40426006 40.06021014),--,"White, non-Hispanic"
2019,2022,AR,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,50.9,50-64 years,POINT (-92.27449074 34.74865012),--,"White, non-Hispanic"
2019,2022,KY,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.9,Overall,POINT (-84.77497105 37.64597027),--,"White, non-Hispanic"
2019,2022,NY,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,65.3,Overall,POINT (-75.54397043 42.82700103),--,Hispanic
2019,2022,AK,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,39.3,65 years or older,POINT (-147.722059 64.84507996),Female,--
2019,2022,NM,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,15.0,50-64 years,POINT (-106.240581 34.52088095),--,Hispanic
2019,2022,AR,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,51.6,50-64 years,POINT (-92.27449074 34.74865012),--,"White, non-Hispanic"
2019,2022,ND,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,19.4,65 years or older,POINT (-100.118421 47.47531978),--,"White, non-Hispanic"
2019,2022,NE,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.2,Overall,POINT (-99.36572062 41.64104099),--,"White, non-Hispanic"
2019,2022,ND,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,22.0,65 years or older,POINT (-100.118421 47.47531978),Female,--
2019,2022,NH,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,31.9,Overall,POINT (-71.50036092 43.65595011),Female,--
2019,2022,KS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,18.7,65 years or older,POINT (-98.20078123 38.3477403),--,"White, non-Hispanic"
2019,2022,HI,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,33.6,50-64 years,POINT (-157.8577494 21.30485044),--,Asian/Pacific Islander
2019,2022,MI,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.1,65 years or older,POINT (-84.71439027 44.66131954),--,"White, non-Hispanic"
2019,2022,CO,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,33.8,Overall,POINT (-106.1336109 38.84384076),Male,--
2019,2022,NC,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,43.7,Overall,POINT (-79.15925046 35.46622098),Female,--
2019,2022,TN,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,34.4,65 years or older,POINT (-85.77449091 35.68094058),Female,--
2019,2022,MN,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.8,Overall,POINT (-94.7942005 46.35564874),Male,--
2019,2022,WA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,31.7,Overall,POINT (-120.4700108 47.52227863),--,"White, non-Hispanic"
2019,2022,NY,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.2,Overall,POINT (-75.54397043 42.82700103),--,"White, non-Hispanic"
2019,2022,TX,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,48.0,50-64 years,POINT (-99.42677021 31.82724041),--,Hispanic
2019,2022,WA,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,34.4,Overall,POINT (-120.4700108 47.52227863),Female,--
2019,2022,KS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,25.5,Overall,POINT (-98.20078123 38.3477403),Male,--
2019,2022,CT,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,42.8,50-64 years,POINT (-72.64984095 41.56266102),Female,--
2019,2022,CA,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,28.9,65 years or older,POINT (-120.9999995 37.63864012),Male,--
2019,2022,OK,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,14.9,Overall,POINT (-97.52107021 35.47203136),--,Native Am/Alaskan Native
2019,2022,VT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.8,Overall,POINT (-72.51764079 43.62538124),Female,--
2019,2022,AL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,33.4,65 years or older,POINT (-86.63186076 32.84057112),--,"White, non-Hispanic"
2019,2022,SD,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,7.0,50-64 years,POINT (-100.3735306 44.35313005),--,"White, non-Hispanic"
2019,2022,HI,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.5,50-64 years,POINT (-157.8577494 21.30485044),--,"White, non-Hispanic"
2019,2022,NE,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.0,Overall,POINT (-99.36572062 41.64104099),Male,--
2019,2022,FL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,35.4,Overall,POINT (-81.92896054 28.93204038),Male,--
2019,2022,MD,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,34.8,50-64 years,POINT (-76.60926011 39.29058096),--,"White, non-Hispanic"
2019,2022,SC,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,34.3,Overall,POINT (-81.04537121 33.9988213),Male,--
2019,2022,VA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.5,Overall,POINT (-78.45789046 37.54268067),Male,--
2019,2022,SD,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,57.2,50-64 years,POINT (-100.3735306 44.35313005),Female,--
2019,2022,PA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,41.2,Overall,POINT (-77.86070029 40.79373015),Female,--
2019,2022,CO,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,26.8,Overall,POINT (-106.1336109 38.84384076),Female,--
2019,2022,UT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,32.3,50-64 years,POINT (-111.5871306 39.36070017),Male,--
2019,2022,GA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.0,Overall,POINT (-83.62758035 32.83968109),--,"White, non-Hispanic"
2019,2022,VA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.4,50-64 years,POINT (-78.45789046 37.54268067),Male,--
2019,2022,AL,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,14.8,50-64 years,POINT (-86.63186076 32.84057112),Female,--
2019,2022,TX,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.5,50-64 years,POINT (-99.42677021 31.82724041),Male,--
2019,2022,NH,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,34.3,50-64 years,POINT (-71.50036092 43.65595011),Male,--
2019,2022,TN,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,32.6,65 years or older,POINT (-85.77449091 35.68094058),Male,--
2019,2022,NC,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,5.0,65 years or older,POINT (-79.15925046 35.46622098),--,"Black, non-Hispanic"
2019,2022,UT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,20.6,65 years or older,POINT (-111.5871306 39.36070017),Male,--
2019,2022,CO,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,14.3,65 years or older,POINT (-106.1336109 38.84384076),Male,--
2019,2022,PA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,35.8,50-64 years,POINT (-77.86070029 40.79373015),--,"White, non-Hispanic"
2019,2022,CT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,39.9,50-64 years,POINT (-72.64984095 41.56266102),Female,--
2019,2022,CO,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.4,Overall,POINT (-106.1336109 38.84384076),Male,--
2019,2022,MD,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,24.4,50-64 years,POINT (-76.60926011 39.29058096),Male,--
2019,2022,VT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,29.3,Overall,POINT (-72.51764079 43.62538124),Male,--
2019,2022,AK,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,8.0,Overall,POINT (-147.722059 64.84507996),Female,--
2019,2022,OR,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,30.5,50-64 years,POINT (-120.1550313 44.56744942),Male,--
2019,2022,MO,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.4,65 years or older,POINT (-92.56630005 38.63579078),--,"Black, non-Hispanic"
2019,2022,WV,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,31.5,65 years or older,POINT (-80.71264013 38.6655102),Male,--
2019,2022,UT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,33.4,65 years or older,POINT (-111.5871306 39.36070017),Female,--
2019,2022,DC,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,42.9,65 years or older,POINT (-77.036871 38.907192),Male,--
2019,2022,SD,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.8,65 years or older,POINT (-100.3735306 44.35313005),Male,--
2019,2022,TX,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.5,Overall,POINT (-99.42677021 31.82724041),--,"Black, non-Hispanic"
2019,2022,TN,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,45.7,50-64 years,POINT (-85.77449091 35.68094058),Female,--
2019,2022,CT,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,16.8,65 years or older,POINT (-72.64984095 41.56266102),Male,--
2019,2022,VA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,37.2,50-64 years,POINT (-78.45789046 37.54268067),--,"White, non-Hispanic"
2019,2022,MD,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,16.4,65 years or older,POINT (-76.60926011 39.29058096),Male,--
2019,2022,GA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.6,Overall,POINT (-83.62758035 32.83968109),Male,--
2019,2022,OK,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.9,50-64 years,POINT (-97.52107021 35.47203136),Female,--
2019,2022,NY,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,24.5,50-64 years,POINT (-75.54397043 42.82700103),--,"White, non-Hispanic"
2019,2022,AR,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,15.4,65 years or older,POINT (-92.27449074 34.74865012),--,"Black, non-Hispanic"
2019,2022,SC,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.5,65 years or older,POINT (-81.04537121 33.9988213),Male,--
2019,2022,NV,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,31.1,50-64 years,POINT (-117.0718406 39.49324039),Female,--
2019,2022,AL,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,43.4,50-64 years,POINT (-86.63186076 32.84057112),Male,--
2019,2022,DC,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,54.3,Overall,POINT (-77.036871 38.907192),--,"Black, non-Hispanic"
2019,2022,MS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,39.0,65 years or older,POINT (-89.53803082 32.7455101),Male,--
2019,2022,OH,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,12.1,Overall,POINT (-82.40426006 40.06021014),Male,--
2019,2022,MD,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,25.7,65 years or older,POINT (-76.60926011 39.29058096),Female,--
2019,2022,TN,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.7,65 years or older,POINT (-85.77449091 35.68094058),--,"White, non-Hispanic"
2019,2022,OK,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,30.4,65 years or older,POINT (-97.52107021 35.47203136),--,"White, non-Hispanic"
2019,2022,CA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,41.3,Overall,POINT (-120.9999995 37.63864012),Female,--
2019,2022,NM,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.3,Overall,POINT (-106.240581 34.52088095),Female,--
2019,2022,MI,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,38.1,Overall,POINT (-84.71439027 44.66131954),Female,--
2019,2022,ME,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,29.5,Overall,POINT (-68.98503134 45.25422889),Male,--
2019,2022,WV,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.4,Overall,POINT (-80.71264013 38.6655102),Female,--
2019,2022,NC,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,8.9,65 years or older,POINT (-79.15925046 35.46622098),--,"White, non-Hispanic"
2019,2022,NV,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,12.1,65 years or older,POINT (-117.0718406 39.49324039),Female,--
2019,2022,AR,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,50.0,50-64 years,POINT (-92.27449074 34.74865012),Female,--
2019,2022,GA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,46.0,50-64 years,POINT (-83.62758035 32.83968109),--,"Black, non-Hispanic"
2019,2022,SC,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.8,Overall,POINT (-81.04537121 33.9988213),Male,--
2019,2022,OK,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,44.4,50-64 years,POINT (-97.52107021 35.47203136),Female,--
2019,2022,LA,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,37.3,65 years or older,POINT (-92.44568007 31.31266064),--,"White, non-Hispanic"
2019,2022,NE,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.9,65 years or older,POINT (-99.36572062 41.64104099),Female,--
2019,2022,IL,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,6.8,Overall,POINT (-88.99771018 40.48501028),Female,--
2019,2022,ME,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,8.8,50-64 years,POINT (-68.98503134 45.25422889),Female,--
2019,2022,MD,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,14.1,65 years or older,POINT (-76.60926011 39.29058096),Male,--
2019,2022,FL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,31.5,50-64 years,POINT (-81.92896054 28.93204038),Male,--
2019,2022,MS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,51.7,Overall,POINT (-89.53803082 32.7455101),Female,--
2019,2022,NY,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,46.9,Overall,POINT (-75.54397043 42.82700103),Female,--
2019,2022,CO,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,16.2,Overall,POINT (-106.1336109 38.84384076),--,"Black, non-Hispanic"
2019,2022,NM,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,56.5,Overall,POINT (-106.240581 34.52088095),--,Hispanic
2019,2022,KS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,29.4,50-64 years,POINT (-98.20078123 38.3477403),Male,--
2019,2022,KS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,37.3,Overall,POINT (-98.20078123 38.3477403),Female,--
2019,2022,MO,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,10.8,65 years or older,POINT (-92.56630005 38.63579078),Female,--
2019,2022,DC,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,46.2,Overall,POINT (-77.036871 38.907192),Female,--
2019,2022,WV,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.8,50-64 years,POINT (-80.71264013 38.6655102),Male,--
2019,2022,UT,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.6,50-64 years,POINT (-111.5871306 39.36070017),Male,--
2019,2022,KS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,42.8,50-64 years,POINT (-98.20078123 38.3477403),Female,--
2019,2022,AR,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.8,Overall,POINT (-92.27449074 34.74865012),--,"White, non-Hispanic"
2019,2022,AL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,36.5,65 years or older,POINT (-86.63186076 32.84057112),Male,--
2019,2022,IN,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,11.4,Overall,POINT (-86.14996019 39.76691045),Female,--
2019,2022,SD,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,38.0,50-64 years,POINT (-100.3735306 44.35313005),Female,--
2019,2022,UT,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,25.9,Overall,POINT (-111.5871306 39.36070017),Male,--
2019,2022,IN,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,37.8,Overall,POINT (-86.14996019 39.76691045),Female,--
2019,2022,SD,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,26.6,Overall,POINT (-100.3735306 44.35313005),--,"White, non-Hispanic"
2019,2022,NH,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,6.3,50-64 years,POINT (-71.50036092 43.65595011),Male,--
2019,2022,AR,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,60.7,50-64 years,POINT (-92.27449074 34.74865012),Female,--
2019,2022,FL,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,33.8,65 years or older,POINT (-81.92896054 28.93204038),Female,--
